Report Name,Report Location,Report ID,DP Name,Universe/Source,Has Combined Queries,Class Name,Object Name,Result Object/Condition Object,Operands,Sub Queries,Combined Queries,Object Qualification
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Customer Accounts - Aging,Credit Hold Indicator,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Customer Accounts - Aging,Customer Credit Limit,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Customer Accounts - Aging,Collector Name,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Customer Accounts - Aging,Credit Rating Code,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Detailed AR Transactions,(Aging) Sales Invoice Number,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Bill To Locations,Bill To Location ID,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Ship To Locations,Ship To ID,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Ship To Locations,Geographic Region Desc,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Bill To Locations,City,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Ship To Locations,Sales Region,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Ship To Locations,Sales Sub Region,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Ship To Locations,Commision Sales Rep Desc,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Ship To Locations,Channel Desc,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Detailed AR Transactions,(Ag) Customer Purchase Order Number,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Detailed AR Transactions,(Aging) Sales Invoice Type,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Detailed AR Metrics,(Aging) Original Invoice Amt,Result Object, , , ,MEASURE
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,AR Posting Date(ARP),(ARP) Date,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Detailed AR Transactions,(Aging) Payment Term Description,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Customer Accounts - Aging,Customer,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Customer Accounts - Aging,Customer Number,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Detailed AR Transactions,(Aging) Sales Order Number,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Bill To Locations,Primary Contact,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Detailed AR Transactions,(Aging) Sales Order Type,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Payment Due Date(PD),(PD) Date,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Detailed AR Transactions,(Aging) Payment Term,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Ship To Locations (STL),(STL) Country Code,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Organizations,Set of Books Name,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE, , , , , Subquery ( Aging Bill To~Invoice Number InList  Aging Bill To~Invoice Number ( (ARP) Date LessOrEqual  (Aging) User Input Date AND (Aging) Outstanding Amt NotEqual  0) ) , ,
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,AR Posting Date(ARP),(ARP) Date,Condition Obj, (ARP) Date LessOrEqual  (Aging) User Input Date, , ,
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Organizations,Set of Books Name,Condition Obj, Set of Books Name InList  03. Select SOB, , ,
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Detailed AR Metrics,(Aging) Outstanding Amt,Condition Obj, (Aging) Outstanding Amt NotEqual  0, , ,
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Customer Accounts - Aging,Collector Name,Condition Obj, Collector Name InList  02.Select Collectors Name, , ,
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Original Invoice Detail,eBusiness Operations,FALSE,Customer Accounts - Aging,Collector Name,Condition Obj, Collector Name IsNull , , ,
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Customer Accounts - Aging,Customer Number,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Customer Accounts - Aging,Customer,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Customer Accounts - Aging,Customer Credit Limit,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Ship To Locations,Channel Desc,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Customer Accounts - Aging,Credit Hold Indicator,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Customer Accounts - Aging,Collector Name,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Customer Accounts - Aging,Credit Rating Code,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Detailed AR Transactions,(Aging) Sales Invoice Number,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Bill To Locations,Bill To Location ID,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Ship To Locations,Ship To ID,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Ship To Locations,Geographic Region Desc,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Bill To Locations,City,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Ship To Locations,Sales Region,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Ship To Locations,Sales Sub Region,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Ship To Locations,Commision Sales Rep Desc,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Detailed AR Metrics,(Aging) Outstanding Amt,Result Object, , , ,MEASURE
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Detailed AR Transactions,(Aging) Payment Term Description,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Detailed AR Transactions,(Ag) Customer Purchase Order Number,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Detailed AR Transactions,(Aging) Sales Invoice Type,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Detailed AR Transactions,(Aging) Sales Order Number,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Bill To Locations,Primary Contact,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Payment Due Date(PD),(PD) Date,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Detailed AR Transactions,(Aging) Sales Order Type,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Detailed AR Transactions,(Aging) Payment Term,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Ship To Locations (STL),(STL) Country Code,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Organizations,Set of Books Name,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE, , , , , Subquery ( Aging Bill To~Invoice Number InList  Aging Bill To~Invoice Number ( (ARP) Date LessOrEqual  (Aging) User Input Date AND (Aging) Outstanding Amt NotEqual  0) ) , ,
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Customer Accounts - Aging,Collector Name,Condition Obj, Collector Name InList  02.Select Collectors Name, , ,
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Customer Accounts - Aging,Collector Name,Condition Obj, Collector Name IsNull , , ,
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Detailed AR Metrics,(Aging) Outstanding Amt,Condition Obj, (Aging) Outstanding Amt NotEqual  0, , ,
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,Organizations,Set of Books Name,Condition Obj, Set of Books Name InList  03. Select SOB, , ,
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging  Invoice Amounts,eBusiness Operations,FALSE,AR Posting Date(ARP),(ARP) Date,Condition Obj, (ARP) Date LessOrEqual  (Aging) User Input Date, , ,
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Detailed AR Transactions,(Aging) Sales Invoice Number,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Detailed Aging Bucket,(Aging) Current as of date,Result Object, , , ,MEASURE
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Detailed Aging Bucket,(Aging) 1-30 Days as of date,Result Object, , , ,MEASURE
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Detailed Aging Bucket,(Aging) 31-60 Days as of date,Result Object, , , ,MEASURE
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Detailed Aging Bucket,(Aging) 61-90 Days as of date,Result Object, , , ,MEASURE
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Detailed Aging Bucket,(Aging) 90+ Days as of date,Result Object, , , ,MEASURE
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Bill To Locations,Bill To Location ID,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Customer Accounts - Aging,Customer Number,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Customer Accounts - Aging,Customer,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Bill To Locations,City,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Customer Accounts - Aging,Customer Credit Limit,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Customer Accounts - Aging,Credit Rating Code,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Customer Accounts - Aging,Collector Name,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Customer Accounts - Aging,Credit Hold Indicator,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Bill To Locations,Primary Contact,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Detailed AR Transactions,(Aging) Sales Order Type,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Detailed AR Transactions,(Aging) Payment Term,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Ship To Locations (STL),(STL) Country Code,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Organizations,Set of Books Name,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Detailed AR Transactions,(Aging) Sales Invoice Type,Result Object, , , ,DIMENSION
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,AR Posting Date(ARP),(ARP) Date,Condition Obj, (ARP) Date LessOrEqual  (Aging) User Input Date, , ,
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE, , , , , Subquery ( Aging Bill To~Invoice Number InList  Aging Bill To~Invoice Number ( (ARP) Date LessOrEqual  (Aging) User Input Date AND (Aging) Outstanding Amt NotEqual  0) ) , ,
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Detailed Aging Bucket,(Aging) 1-30 Days as of date,Condition Obj, (Aging) 1-30 Days as of date NotEqual  0, , ,
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Detailed Aging Bucket,(Aging) 90+ Days as of date,Condition Obj, (Aging) 90+ Days as of date NotEqual  0, , ,
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Detailed Aging Bucket,(Aging) 61-90 Days as of date,Condition Obj, (Aging) 61-90 Days as of date NotEqual  0, , ,
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Detailed Aging Bucket,(Aging) 31-60 Days as of date,Condition Obj, (Aging) 31-60 Days as of date NotEqual  0, , ,
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Detailed Aging Bucket,(Aging) Current as of date,Condition Obj, (Aging) Current as of date NotEqual  0, , ,
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Customer Accounts - Aging,Collector Name,Condition Obj, Collector Name InList  02.Select Collectors Name, , ,
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Customer Accounts - Aging,Collector Name,Condition Obj, Collector Name IsNull , , ,
Detailed Aging as of,Public Folders\Accounting\AR\,8167,Aging Due Amount Buckets,eBusiness Operations,FALSE,Organizations,Set of Books Name,Condition Obj, Set of Books Name InList  03. Select SOB, , ,
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Customer Accounts - Aging,Credit Hold Indicator,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Customer Accounts - Aging,Customer Credit Limit,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Customer Accounts - Aging,Collector Name,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Customer Accounts - Aging,Credit Rating Code,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Detailed AR Transactions,(Aging) Sales Invoice Number,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Bill To Locations,Bill To Location ID,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Ship To Locations,Ship To ID,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Ship To Locations,Geographic Region Desc,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Bill To Locations,City,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Ship To Locations,Sales Region,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Ship To Locations,Sales Sub Region,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Ship To Locations,Commision Sales Rep Desc,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Ship To Locations,Channel Desc,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Detailed AR Transactions,(Ag) Customer Purchase Order Number,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Detailed AR Transactions,(Aging) Sales Invoice Type,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,AR Posting Date(ARP),(ARP) Date,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Detailed AR Transactions,(Aging) Payment Term Description,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Customer Accounts - Aging,Customer,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Customer Accounts - Aging,Customer Number,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Detailed AR Transactions,(Aging) Sales Order Number,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Bill To Locations,Primary Contact,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Detailed AR Transactions,(Aging) Sales Order Type,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Payment Due Date(PD),(PD) Date,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Detailed AR Transactions,(Aging) Payment Term,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Ship To Locations (STL),(STL) Country Code,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Organizations,Set of Books Name,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Detailed AR Metrics,(Aging) Original Invoice Transa Amt,Result Object, , , ,MEASURE
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE, , , , , Subquery ( Aging Bill To~Invoice Number InList  Aging Bill To~Invoice Number ( (ARP) Date LessOrEqual  (Aging) User Input Date AND (Aging) Outstanding Transaction Amt NotEqual  0) ) , ,
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,AR Posting Date(ARP),(ARP) Date,Condition Obj, (ARP) Date LessOrEqual  (Aging) User Input Date, , ,
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Organizations,Set of Books Name,Condition Obj, Set of Books Name InList  03. Select SOB, , ,
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Detailed AR Metrics,(Aging) Outstanding Transaction Amt,Condition Obj, (Aging) Outstanding Transaction Amt NotEqual  0, , ,
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Customer Accounts - Aging,Collector Name,Condition Obj, Collector Name InList  02.Select Collectors Name, , ,
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Customer Accounts - Aging,Collector Name,Condition Obj, Collector Name IsNull , , ,
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging Original Invoice Detail,eBusiness Operations,FALSE,Detailed AR Transactions,(Aging) Transaction Currency,Condition Obj, (Aging) Transaction Currency Equal  04. Select Transaction Currency, , ,
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging  Invoice Amounts,eBusiness Operations,FALSE,Customer Accounts - Aging,Customer Number,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging  Invoice Amounts,eBusiness Operations,FALSE,Customer Accounts - Aging,Customer,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging  Invoice Amounts,eBusiness Operations,FALSE,Customer Accounts - Aging,Customer Credit Limit,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging  Invoice Amounts,eBusiness Operations,FALSE,Ship To Locations,Channel Desc,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging  Invoice Amounts,eBusiness Operations,FALSE,Customer Accounts - Aging,Credit Hold Indicator,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging  Invoice Amounts,eBusiness Operations,FALSE,Customer Accounts - Aging,Collector Name,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging  Invoice Amounts,eBusiness Operations,FALSE,Customer Accounts - Aging,Credit Rating Code,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging  Invoice Amounts,eBusiness Operations,FALSE,Detailed AR Transactions,(Aging) Sales Invoice Number,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging  Invoice Amounts,eBusiness Operations,FALSE,Bill To Locations,Bill To Location ID,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging  Invoice Amounts,eBusiness Operations,FALSE,Ship To Locations,Ship To ID,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging  Invoice Amounts,eBusiness Operations,FALSE,Ship To Locations,Geographic Region Desc,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging  Invoice Amounts,eBusiness Operations,FALSE,Bill To Locations,City,Result Object, , , ,DIMENSION
Detailed Aging as of (Transaction Amt),Public Folders\Accounting\AR\,8168,Aging  Invoice Amounts,eBusiness Operations,FALSE,Ship To Locations,Sales Region,Result Object, , , ,DIMENSION
